INFO 2025-03-26 15:29:47,685 autoreload 41272 46680 Watching for file changes with StatReloader
WARNING 2025-03-26 15:29:51,704 log 41272 54036 Not Found: /
WARNING 2025-03-26 15:29:51,705 basehttp 41272 54036 "GET / HTTP/1.1" 404 3163
WARNING 2025-03-26 15:29:57,218 log 41272 27860 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:29:57,219 basehttp 41272 27860 "GET /api/v1/articles/?limit=3&status=published HTTP/1.1" 404 7351
WARNING 2025-03-26 15:29:57,233 log 41272 27860 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:29:57,234 basehttp 41272 27860 "GET /api/v1/articles/?limit=3&status=published HTTP/1.1" 404 7351
WARNING 2025-03-26 15:30:03,346 log 41272 27860 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:30:03,348 basehttp 41272 27860 "GET /api/v1/articles/?page=1 HTTP/1.1" 404 7329
WARNING 2025-03-26 15:30:03,363 log 41272 1688 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:30:03,364 basehttp 41272 1688 "GET /api/v1/articles/?page=1 HTTP/1.1" 404 7329
WARNING 2025-03-26 15:30:08,790 log 41272 26896 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:30:08,794 basehttp 41272 26896 "GET /api/v1/articles/?limit=3&status=published HTTP/1.1" 404 7351
WARNING 2025-03-26 15:30:08,836 log 41272 26896 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:30:08,838 basehttp 41272 26896 "GET /api/v1/articles/?limit=3&status=published HTTP/1.1" 404 7351
WARNING 2025-03-26 15:35:58,868 log 41272 53036 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:35:58,870 basehttp 41272 53036 "GET /api/v1/articles/?limit=3&status=published HTTP/1.1" 404 7351
WARNING 2025-03-26 15:35:58,882 log 41272 53036 Not Found: /api/v1/articles/
WARNING 2025-03-26 15:35:58,883 basehttp 41272 53036 "GET /api/v1/articles/?limit=3&status=published HTTP/1.1" 404 7351
INFO 2025-03-26 15:36:26,016 basehttp 41272 13128 "GET /api/articles/?limit=3&status=published HTTP/1.1" 200 711
INFO 2025-03-26 15:36:26,153 basehttp 41272 58220 "GET /api/articles/?limit=3&status=published HTTP/1.1" 200 711
INFO 2025-03-26 15:36:40,742 basehttp 41272 46728 "GET /api/articles/?limit=3&status=published HTTP/1.1" 200 711
INFO 2025-03-26 15:36:40,897 basehttp 41272 46728 "GET /api/articles/?limit=3&status=published HTTP/1.1" 200 711
INFO 2025-03-26 15:43:38,383 basehttp 41272 9976 "GET /api/articles/?page=1 HTTP/1.1" 200 711
INFO 2025-03-26 15:43:38,507 basehttp 41272 9976 "GET /api/articles/?page=1 HTTP/1.1" 200 711
INFO 2025-03-26 15:43:39,923 basehttp 41272 9976 "GET /api/articles/?page=1&search=r HTTP/1.1" 200 711
INFO 2025-03-26 15:43:40,423 basehttp 41272 9976 "GET /api/articles/?page=1&search=rf HTTP/1.1" 200 52
INFO 2025-03-26 15:43:42,385 basehttp 41272 9976 "GET /api/articles/?page=1 HTTP/1.1" 200 711
INFO 2025-03-26 15:43:44,057 basehttp 41272 9976 "GET /api/articles/1/ HTTP/1.1" 200 327
INFO 2025-03-26 15:43:44,070 basehttp 41272 34732 "GET /api/articles/1/comments/ HTTP/1.1" 200 192
INFO 2025-03-26 15:43:44,169 basehttp 41272 31496 "GET /api/articles/1/ HTTP/1.1" 200 327
INFO 2025-03-26 15:43:44,183 basehttp 41272 9976 "GET /api/articles/1/comments/ HTTP/1.1" 200 192
